,,,,,,,,,,,,,,,,
"RV32I Instruction sets",,,,,,,,,,,,,,,,
"Integer Arithmatic",,,,,,,,,,,,,,,,
Bit,,31,25,24,20,19,15,14,12,11,7,6,0,,,
"I-type Instruction",,imm[11:0],,,," rs1 ",,"funct3 ",,"rd ",,opcode,,,,
,ADDI,imm[11:0],,,," rs1 ",,"_000 ",,"rd ",,_001_0011,,"Rd  <= Rs1 + { {20{imm[11]}}, imm[11:0]}",,
,SLTI,imm[11:0],,,," rs1 ",,_010,,"rd ",,_001_0011,,"Rd = ( $signed(Rs1) < { {20{imm[11]}}, imm[11:0] } )",,
,SLTIU,imm[11:0],,,," rs1 ",,_011,,"rd ",,_001_0011,,"Rd = ( Rs1 < { {20{imm[11]}}, imm[11:0] } )",,
,XORI,imm[11:0],,,," rs1 ",,_100,,"rd ",,_001_0011,,"Rd  <= Rs1 ^ { {20{imm[11]}}, imm[11:0]}",,
,ORI,imm[11:0],,,," rs1 ",,_110,,"rd ",,_001_0011,,"Rd  <= Rs1 | { {20{imm[11]}}, imm[11:0]}",,
,ANDI,imm[11:0],,,," rs1 ",,_111,,"rd ",,_001_0011,,"Rd  <= Rs1 & { {20{imm[11]}}, imm[11:0]}",,
,SLLI,_000_0000,,shamt[4:0],," rs1 ",,_001,,"rd ",,_001_0011,,"Rd <= Rs1 << shamt[4:0]",,
,SRLI,_000_0000,,shamt[4:0],," rs1 ",,_101,,"rd ",,_001_0011,,"Rd <= Rs1 >> shamt[4:0]",,
,SRAI,_010_0000,,shamt[4:0],," rs1 ",,_101,,"rd ",,_001_0011,,"Rd <= $signed(Rs1) >>> shamt[4:0]",,
U-type,AUIPC,U-immediate[31:12],,,,,,,,"rd ",,_001_0111,,"Rd <= PC + { U-imm[31:12], {12{1'b0}} }",,
U-type,LUI,U-immediate[31:12],,,,,,,,"rd ",,_011_0111,,"Rd <= { U-imm[31:12], {12{1'b0}} }",,
,NOP,_0000_0000_0000,,,,_0_0000,,_000,,_0_0000,,_001_0011,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bit,,31,25,24,20,19,15,14,12,11,7,6,0,,,
"R-type Instruction",,"funct7 ",,rs2,," rs1 ",,"funct3 ",,"rd ",,opcode,,,,
,ADD,_000_0000,,rs2,," rs1 ",,_000,,rd,,_011_0011,,"Rd  <= Rs1 + Rs2",,
,SUB,_010_0000,,rs2,," rs1 ",,_000,,rd,,_011_0011,,"Rd  <= Rs1 - Rs2",,
